alias	display_name
Anas spp.	Anas
Anas plathyrhynchos	Anas platyrhynchos
Anas platyrhyncha var. domestica, domestic duck (Aigamo duck)	Anas platyrhynchos
Mulard Duck	Anas platyrhynchos x Cairina moschata
mulard duck	Anas platyrhynchos x Cairina moschata
mule duck	Anas platyrhynchos x Cairina moschata
Mule_duck	Anas platyrhynchos x Cairina moschata
Mule-duck	Anas platyrhynchos x Cairina moschata
Wild bird(Anas platyrhynchos)	Anas platyrhynchos
wild bird(Anas platyrhynchos)	Anas platyrhynchos
Backyard duck	Anatidae
backyard duck	Anatidae
broiler duck	Anatidae
wild duck	Anatidae
wild waterfowl	Anatidae 
Wild waterfowl	Anatidae 
Anseriformes sp.	Anseriformes
Accipiter gentilis	Astur gentilis
aquatic bird	Aves
Aquatic bird	Aves
Backyard bird	Aves
Backyard poultry	Aves
backyard poultry	Aves
Bird	Aves
bird	Aves
bird; mixed organ pool of Anas platyrhynchos and Fulica atra	Aves
Domestic bird	Aves
domestic bird	Aves
Unidentified bird	Aves
unidentified wild bird	Aves
unknown wild bird	Aves
wild bird	Aves
Wild bird	Aves
Wild Bird	Aves
wild birds	Aves
Wild birds	Aves
wild chicken	Aves
wild waterbird	Aves
Wild-Bird	Aves
Redhead duck	Aythya americana
Redhead Duck	Aythya americana
redhead duck; gender F; age hatch year	Aythya americana
redhead duck; gender M; age hatch year	Aythya americana
redheaded duck	Aythya americana
red-headed duck	Aythya americana
Black-Crowned night heron	black-crowned night-heron
black-crowned night heron	black-crowned night-heron
brent goose	Branta bernicla
canine	Canis lupus familiaris
shorebird	Charadriiformes
Shorebird	Charadriiformes
shorebird; age after hatch year	Charadriiformes
Backyard chicken	chicken
backyard chicken	chicken
Breeder-Chicken	chicken
breeding hens	chicken
Broiler	chicken
Broiler Breeders	chicken
Broiler Breeders Chicken	chicken
Broiler Chicken	chicken
Broiler chicken	chicken
Broiler chicken(Gallus gallus domesticus)	chicken
broiler chickens	chicken
Broiler-12days-Chicken	chicken
Broiler-Chicken	chicken
Broilers	chicken
broliers	chicken
chciken	chicken
Chciken	chicken
chicekne	chicken
CHICHEN	chicken
chick	chicken
chicken breed hyline	chicken
Chicken broiler	chicken
Chicken-Cobb	chicken
Chicken-layer	chicken
Chiken	chicken
Domestic chicken	chicken
domestic chicken	chicken
household chicken	chicken
live bird market chicken	chicken
silkie chicken	chicken
silky chicken	chicken
chuckar	chukar partridge
Chukar	chukar partridge
chukar	chukar partridge
chukkar	chukar partridge
Teal	Common teal
teal	Common teal
teal duck	Common teal
teal; gender F; age Hatch Year	Common teal
teal; gender M; age 2	Common teal
teal; gender M; age Hatch Year	Common teal
Corvus sp.	Corvus
Corvus spp.	Corvus
crow	Corvus
Crow	Corvus
crow; dead bird	Corvus
coturnix quail; live bird market	Coturnix
Coturnix sp.	Coturnix
Whooper Swan	Cygnus cygnus
Whooper swan	Cygnus cygnus
whooper swan	Cygnus cygnus
whooper swan (Cygnus cygnus)	Cygnus cygnus
whooper swan; age adult	Cygnus cygnus
whooper swan; Cygnus cygnus	Cygnus cygnus
Whooper swans; Cygnus cygnus	Cygnus cygnus
Whooper_Swan	Cygnus cygnus
whooperswan	Cygnus cygnus
domestic dog	dog
Chen canagica (emperor goose)	Emperor goose
Wild bird feces	environmental sample
Arabian horses	Equus caballus
feline; Felis catus	Felis catus
quail	Galliformes
Quail	Galliformes
QUAIL	Galliformes
Quail; age Adult	Galliformes
quail; farm	Galliformes
quail; Japanese	Galliformes
Deshi Chicken(Gallus gallus domesticus)	Gallus gallus domesticus
Deshi chicken(Gallus gallus domesticus)	Gallus gallus domesticus
green -wing teal	green-winged teal
Green winged teal	green-winged teal
green winged teal	green-winged teal
green winged teal; female	green-winged teal
green winged teal; gender F	green-winged teal
green winged teal; gender M	green-winged teal
green winged teal; male	green-winged teal
green-wing teal	green-winged teal
hom sapiens	Homo sapiens
Homosapien_Female	Homo sapiens
Homosapien_Female_27Y	Homo sapiens
Homosapien_Female_31Y	Homo sapiens
Homosapien_Male_65Y	Homo sapiens
Homosapien_Male_69Y	Homo sapiens
large billed crow	Large-billed crow
Backyard turkey	Meleagris gallopavo
ANIMAL	Metazoa
pheasant	Phasianinae
Pheasant	Phasianinae
pheasant; backyard	Phasianinae
piegon	pigeons
pigeon	pigeons
Pigeon	pigeons
PIGEON	pigeons
pigeon; 40 days age	pigeons
pigeon; Baladi	pigeons
pigeon;female	pigeons
Rosss Goose	Ross' goose
Ross's Goose	Ross' goose
Ross's goose	Ross' goose
Anas clypeata	Spatula clypeata
Anas clypeata (northern shoveler); gender: F; age: hatch year	Spatula clypeata
Anas clypeata (shovelar)	Spatula clypeata
Anas discors	Spatula discors
swan	swans
Swan	swans
swan; Cygnus sp.	swans
Swan; Cygnus sp.	swans
U	unknown
